DAY,TOTAL BALANCE,STATUS
0,996243.93,Bought 1 units for price $3756.07
1,992511.89,Bought 1 units for price $3732.04
2,988784.85,Bought 1 units for price $3727.04
3,985049.49,Bought 1 units for price $3735.36
4,981346.4299999999,Bought 1 units for price $3703.06
5,977656.4199999999,Bought 1 units for price $3690.01
6,973969.1599999999,Bought 1 units for price $3687.26
7,970274.2399999999,Bought 1 units for price $3694.92
8,966564.8299999998,Bought 1 units for price $3709.41
9,962842.3499999999,Bought 1 units for price $3722.48
10,959141.1799999998,Bought 1 units for price $3701.17
11,955446.5599999998,Bought 1 units for price $3694.62
12,951799.0699999998,Bought 1 units for price $3647.49
13,948135.6099999999,Bought 1 units for price $3663.46
14,944467.5099999999,Bought 1 units for price $3668.1
15,940794.69,Bought 1 units for price $3672.82
16,937092.44,Bought 1 units for price $3702.25
17,933400.48,Bought 1 units for price $3691.96
18,929701.36,Bought 1 units for price $3699.12
19,926034.64,Bought 1 units for price $3666.72
20,922365.63,Bought 1 units for price $3669.01
21,918703.18,Bought 1 units for price $3662.45
22,915081.55,Bought 1 units for price $3621.63
23,911443.2000000001,Bought 1 units for price $3638.35
24,907813.55,Bought 1 units for price $3629.65
25,904178.14,Bought 1 units for price $3635.41
26,900600.55,Bought 1 units for price $3577.59
27,897043.01,Bought 1 units for price $3557.54
28,893461.14,Bought 1 units for price $3581.87
29,889893.35,Bought 1 units for price $3567.79
30,886283.82,Bought 1 units for price $3609.53
31,882656.9099999999,Bought 1 units for price $3626.91
32,879071.7599999999,Bought 1 units for price $3585.15
33,875534.7499999999,Bought 1 units for price $3537.01
34,871962.0899999999,Bought 1 units for price $3572.66
35,868416.5599999998,Bought 1 units for price $3545.53
36,864866.0599999998,Bought 1 units for price $3550.5
37,861356.6199999999,Bought 1 units for price $3509.44
38,857846.1699999999,Bought 1 units for price $3510.45
39,854402.73,Bought 1 units for price $3443.44
40,857771.89,Sold 1 units for price $3369.16 and investment $-2.1571451804010002
41,861082.13,Sold 1 units for price $3310.24 and investment $-3.8682247984573648
42,864352.09,Sold 1 units for price $3269.96 and investment $-5.037985270543411
43,867662.2,Sold 1 units for price $3310.11 and investment $-3.8720000929303238
44,870933.23,Sold 1 units for price $3271.03 and investment $-5.006911692958201
45,867542.5499999999,Bought 1 units for price $3390.68
46,864141.58,Bought 1 units for price $3400.97
47,860676.19,Bought 1 units for price $3465.39
48,857222.7,Bought 1 units for price $3453.49
49,853787.1399999999,Bought 1 units for price $3435.56
50,850344.0199999999,Bought 1 units for price $3443.12
51,846917.0999999999,Bought 1 units for price $3426.92
52,843433.2899999998,Bought 1 units for price $3483.81
53,839949.9499999998,Bought 1 units for price $3483.34
54,836461.2799999998,Bought 1 units for price $3488.67
55,832949.3499999997,Bought 1 units for price $3511.93
56,829415.1299999998,Bought 1 units for price $3534.22
57,825937.9899999998,Bought 1 units for price $3477.14
58,822491.1599999998,Bought 1 units for price $3446.83
59,819071.7199999999,Bought 1 units for price $3419.44
60,815710.7499999999,Bought 1 units for price $3360.97
61,812302.1499999999,Bought 1 units for price $3408.6
