DAY,TOTAL BALANCE,STATUS
0,996243.93,Bought 1 units for price $3756.07
1,992511.89,Bought 1 units for price $3732.04
2,988784.85,Bought 1 units for price $3727.04
3,985049.49,Bought 1 units for price $3735.36
4,981346.4299999999,Bought 1 units for price $3703.06
5,985036.44,Sold 1 units for price $3690.01 and investment $-0.35241124907508187
6,988723.7,Sold 1 units for price $3687.26 and investment $-0.4266741559683
7,985028.7799999999,Bought 1 units for price $3694.92
8,981319.3699999999,Bought 1 units for price $3709.41
9,977596.8899999999,Bought 1 units for price $3722.48
10,973895.7199999999,Bought 1 units for price $3701.17
11,970201.0999999999,Bought 1 units for price $3694.62
12,966553.6099999999,Bought 1 units for price $3647.49
13,962890.1499999999,Bought 1 units for price $3663.46
14,966558.2499999999,Sold 1 units for price $3668.1 and investment $0.12665622116796343
15,962885.4299999999,Bought 1 units for price $3672.82
16,959183.1799999999,Bought 1 units for price $3702.25
17,955491.22,Bought 1 units for price $3691.96
18,951792.1,Bought 1 units for price $3699.12
19,948125.38,Bought 1 units for price $3666.72
20,944456.37,Bought 1 units for price $3669.01
21,940793.92,Bought 1 units for price $3662.45
22,937172.29,Bought 1 units for price $3621.63
23,933533.9400000001,Bought 1 units for price $3638.35
24,929904.29,Bought 1 units for price $3629.65
25,926268.88,Bought 1 units for price $3635.41
26,922691.29,Bought 1 units for price $3577.59
27,919133.75,Bought 1 units for price $3557.54
28,915551.88,Bought 1 units for price $3581.87
29,911984.09,Bought 1 units for price $3567.79
30,908374.5599999999,Bought 1 units for price $3609.53
31,904747.6499999999,Bought 1 units for price $3626.91
32,901162.4999999999,Bought 1 units for price $3585.15
33,897625.4899999999,Bought 1 units for price $3537.01
34,894052.8299999998,Bought 1 units for price $3572.66
35,890507.2999999998,Bought 1 units for price $3545.53
36,886956.7999999998,Bought 1 units for price $3550.5
37,883447.3599999999,Bought 1 units for price $3509.44
38,879936.9099999999,Bought 1 units for price $3510.45
39,876493.47,Bought 1 units for price $3443.44
40,873124.3099999999,Bought 1 units for price $3369.16
41,869814.07,Bought 1 units for price $3310.24
42,866544.11,Bought 1 units for price $3269.96
43,863234.0,Bought 1 units for price $3310.11
44,859962.97,Bought 1 units for price $3271.03
45,856572.2899999999,Bought 1 units for price $3390.68
46,853171.32,Bought 1 units for price $3400.97
47,849705.9299999999,Bought 1 units for price $3465.39
48,846252.44,Bought 1 units for price $3453.49
49,842816.8799999999,Bought 1 units for price $3435.56
50,839373.7599999999,Bought 1 units for price $3443.12
51,835946.8399999999,Bought 1 units for price $3426.92
52,832463.0299999998,Bought 1 units for price $3483.81
53,828979.6899999998,Bought 1 units for price $3483.34
54,825491.0199999998,Bought 1 units for price $3488.67
55,821979.0899999997,Bought 1 units for price $3511.93
56,818444.8699999998,Bought 1 units for price $3534.22
57,814967.7299999997,Bought 1 units for price $3477.14
58,811520.8999999998,Bought 1 units for price $3446.83
59,808101.4599999998,Bought 1 units for price $3419.44
60,804740.4899999999,Bought 1 units for price $3360.97
61,801331.8899999999,Bought 1 units for price $3408.6
62,797983.4699999999,Bought 1 units for price $3348.42
