DAY,TOTAL BALANCE,STATUS
0,996243.9636848322,Bought 1 units for price $3756.036315167822
1,992511.9101082142,Bought 1 units for price $3732.053576617922
2,988784.8361905324,Bought 1 units for price $3727.0739176818042
3,985049.4681175831,Bought 1 units for price $3735.3680729493017
4,981346.4278814602,Bought 1 units for price $3703.040236122961
5,985036.4677335646,Sold 1 units for price $3690.03985210435 and investment $-0.3510732584483656
6,988723.7272468726,Sold 1 units for price $3687.25951330808 and investment $-0.426155855962372
7,985028.810095641,Bought 1 units for price $3694.917151231666
8,981319.3750420933,Bought 1 units for price $3709.4350535475983
9,977596.853465841,Bought 1 units for price $3722.5215762523176
10,973895.69577107,Bought 1 units for price $3701.1576947710655
11,970201.1545664936,Bought 1 units for price $3694.541204576352
12,966553.6414009181,Bought 1 units for price $3647.513165575412
13,962890.2270825334,Bought 1 units for price $3663.414318384756
14,966558.3489754545,Sold 1 units for price $3668.121892921035 and investment $0.12850237857766122
15,962885.5274158034,Bought 1 units for price $3672.8215596510936
16,959183.2675600762,Bought 1 units for price $3702.259855727231
17,955491.2028948291,Bought 1 units for price $3692.0646652471196
18,951792.0822492077,Bought 1 units for price $3699.120645621489
19,948125.3168055668,Bought 1 units for price $3666.7654436409025
20,944456.220250902,Bought 1 units for price $3669.0965546648
21,940793.8033117756,Bought 1 units for price $3662.416939126388
22,937172.1236813043,Bought 1 units for price $3621.679630471289
23,933533.8189044496,Bought 1 units for price $3638.304776854671
24,929904.1637980887,Bought 1 units for price $3629.655106360933
25,926268.7718471871,Bought 1 units for price $3635.3919509015777
26,922691.1362574665,Bought 1 units for price $3577.6355897205126
27,919133.5739258584,Bought 1 units for price $3557.5623316080896
28,915551.6852859177,Bought 1 units for price $3581.888639940681
29,911983.8801886083,Bought 1 units for price $3567.8050973094105
30,908374.3726419912,Bought 1 units for price $3609.507546617025
31,904747.5168856138,Bought 1 units for price $3626.855756377434
32,901162.392619515,Bought 1 units for price $3585.124266098843
33,897625.3686445695,Bought 1 units for price $3537.0239749453626
34,894052.7200367458,Bought 1 units for price $3572.6486078238136
35,890507.1685244797,Bought 1 units for price $3545.5515122660418
36,886956.7226475221,Bought 1 units for price $3550.445876957573
37,883447.2653252481,Bought 1 units for price $3509.45732227395
38,879936.8371574456,Bought 1 units for price $3510.4281678024895
